"rules","support","confidence","coverage","lift","count","imbalance","kulczynski"
"{retweet_source=Twitter for iPhone,retweet_verified=Sin verificar} => {difusion=alta}",0.0537756012533461,0.287592941959827,0.186985121703223,1.104598028691,5183,0.186433975693987,0.247068169393877
"{1_resp=desde el pasado,retweet_verified=Verificados} => {difusion=alta}",0.0242057645618476,0.584858360491351,0.0413873959868025,2.24634647728052,2333,0.788971962616822,0.33891439583506
"{retweet_source=Twitter Web App,retweet_verified=Verificados} => {difusion=alta}",0.0166109854537154,0.367370353373107,0.0452159116847544,1.41101017768418,1601,0.744533409931421,0.215585232476782
"{polaridad=Negativo,retweet_verified=Verificados} => {difusion=alta}",0.0222655682596335,0.409229595728452,0.0544084995123571,1.5717847651032,2146,0.704100454029512,0.24737402317705
"{n_char=medio,retweet_verified=Verificados} => {difusion=alta}",0.0243302691373908,0.341637529137529,0.0712166172106825,1.31217455699902,2345,0.61560800999561,0.217543081138463
"{polaridad=Positivo,retweet_verified=Verificados} => {difusion=alta}",0.0234172355834077,0.401315789473684,0.0583511444045569,1.54138911377431,2257,0.684094023400443,0.245628804117571
"{retweet_verified=Verificados,RT_popular=muy muchos} => {difusion=alta}",0.0620344047643751,0.383638113570741,0.161700317486668,1.47349201650495,5979,0.274034582132565,0.310951120226831
"{n_char=corto,retweet_verified=Verificados} => {difusion=alta}",0.018136166504119,0.292258819595385,0.0620551555269656,1.1225189109047,1748,0.65172025778293,0.180958452596768
"{retweet_source=Twitter for Android,retweet_verified=Verificados} => {difusion=alta}",0.0114751717125604,0.511090573012939,0.0224523251229483,1.96301632295103,1106,0.876797185683695,0.277582426858745
"{fecha_inicio_T_momento=Tarde,retweet_verified=Verificados} => {difusion=alta}",0.0314581560872362,0.354744354744355,0.0886783839306095,1.36251575671357,3032,0.540592636152766,0.237785025064853
"{retweet_es_finde=Laborable,retweet_verified=Verificados} => {difusion=alta}",0.0275362619576269,0.328668730650155,0.0837812039592455,1.26236349715164,2654,0.557725708667868,0.217215532137861
"{n_char=largo,retweet_verified=Verificados} => {difusion=alta}",0.0398829656989894,0.437962857468383,0.0910647216285198,1.68214458151422,3844,0.543410930162853,0.295573442761449
"{fecha_inicio_T_momento=Noche,retweet_verified=Verificados} => {difusion=alta}",0.0373098711377643,0.385258195843154,0.0968438090099811,1.47971449078484,3596,0.511157239231967,0.264279691689011
"{polaridad=Neutro,retweet_verified=Verificados} => {difusion=alta}",0.0366562221161628,0.328528919471824,0.111576850449254,1.26182650500253,3533,0.443756769302182,0.234659773356698
"{retweet_es_finde=Finde,retweet_verified=Verificados} => {difusion=alta}",0.0548027640015771,0.389959394610557,0.140534539644332,1.49777103575973,5282,0.34622418083161,0.300223978806833
"{1_resp=desde el pasado,retweet_source=Twitter Web App} => {difusion=alta}",0.0206988856840489,0.38021726700972,0.0544396256562429,1.46035309751059,1995,0.700169336061525,0.229859171482066
"{1_resp=desde el pasado,polaridad=Negativo} => {difusion=alta}",0.0229710941877114,0.429569266589057,0.0534747151957835,1.64990615495284,2214,0.711279161018763,0.258898764162465
"{1_resp=desde el pasado,n_char=medio} => {difusion=alta}",0.0214251623747173,0.417762492413514,0.051285509742483,1.6045582427592,2065,0.72039897039897,0.250026539902461
"{1_resp=desde el pasado,polaridad=Positivo} => {difusion=alta}",0.0240501338424187,0.418034265103697,0.0575314892822311,1.60560207775662,2318,0.690265174252322,0.25520347191584
"{1_resp=desde el pasado,RT_popular=muy muchos} => {difusion=alta}",0.0361270776701044,0.674544750096862,0.0535577182461455,2.59081741068924,3482,0.744453574363188,0.406651509502882
"{1_resp=desde el pasado,RT_popular=amigos medios} => {difusion=alta}",0.0213214085617646,0.34278565471226,0.0622004108650993,1.31658432184893,2055,0.657814975545912,0.212338870234906
"{1_resp=desde el pasado,n_char=corto} => {difusion=alta}",0.0267684837417775,0.402747424289728,0.0664646925774522,1.54688779181847,2580,0.646196403872752,0.252780422912378
"{1_resp=desde el pasado,retweet_source=Twitter for Android} => {difusion=alta}",0.0320288020584756,0.40795559666975,0.0785105102612521,1.56689154053654,3087,0.592648948400622,0.265486525520657
"{1_resp=desde el pasado,fecha_inicio_T_momento=Tarde} => {difusion=alta}",0.035795065468656,0.419810172791433,0.0852648834844681,1.61242305228277,3450,0.56513294487978,0.278646618235997
"{1_resp=desde el pasado,retweet_es_finde=Laborable} => {difusion=alta}",0.0204498765329626,0.41303436714166,0.0495113195409931,1.58639827743076,1971,0.728517655493816,0.245789519587407
"{1_resp=desde el pasado,n_char=largo} => {difusion=alta}",0.0462326990516901,0.427844455112818,0.10805959619016,1.64328143272032,4456,0.472707950922616,0.302708391579682
"{1_resp=desde el pasado,fecha_inicio_T_momento=Noche} => {difusion=alta}",0.0452159116847544,0.421837189042687,0.107188064161358,1.62020849423417,4358,0.47519876396176,0.297752100538718
"{1_resp=desde el pasado,polaridad=Neutro} => {difusion=alta}",0.0473947417567596,0.412870571221981,0.114793218650785,1.58576916376492,4568,0.444127888572333,0.297453058783861
"{1_resp=desde el pasado,retweet_es_finde=Finde} => {difusion=alta}",0.0739660932539271,0.419575069154258,0.176288103587807,1.61152005719398,7129,0.231805698592516,0.351833441965349
"{1_resp=desde el pasado,retweet_verified=Sin verificar} => {difusion=alta}",0.070210205225042,0.38070323488045,0.184422402523293,1.46221962159271,6767,0.202731150628774,0.325184645255639
"{polaridad=Negativo,retweet_source=Twitter Web App} => {difusion=alta}",0.0167562407918491,0.273127008286826,0.0613496295988878,1.04903671446166,1615,0.652592542188351,0.168742511077341
"{retweet_source=Twitter Web App,RT_popular=muy muchos} => {difusion=alta}",0.0219439314394804,0.415194346289753,0.0528521923180677,1.59469440838842,2115,0.712428311901115,0.249738720925222
"{n_char=largo,retweet_source=Twitter Web App} => {difusion=alta}",0.0351206656844639,0.283738474434199,0.123778298852483,1.08979364162417,3385,0.391331490234549,0.209315638747346
"{n_char=medio,polaridad=Negativo} => {difusion=alta}",0.0179494096408043,0.268217054263566,0.0669212093544438,1.03017837427397,1730,0.625343798215603,0.168578918460387
"{polaridad=Negativo,RT_popular=muy muchos} => {difusion=alta}",0.0260629578136997,0.434151399930868,0.0600319561743894,1.66750538886335,2512,0.680626057529611,0.267127505177835
"{fecha_inicio_T_momento=Tarde,polaridad=Negativo} => {difusion=alta}",0.0265713514971675,0.281645221599032,0.0943433421178228,1.08175379565466,2561,0.505944476063998,0.191850745014866
"{n_char=largo,polaridad=Negativo} => {difusion=alta}",0.0390010582888921,0.328125,0.118860368118528,1.26027511556547,3759,0.415906803696136,0.238960882083366
"{fecha_inicio_T_momento=Noche,polaridad=Negativo} => {difusion=alta}",0.0320391774397709,0.286722376973073,0.111742856549978,1.10125432921889,3088,0.437027092994874,0.204889840754011
"{polaridad=Negativo,retweet_es_finde=Finde} => {difusion=alta}",0.0471146064617875,0.312117671317616,0.150951422464776,1.1987935521214,4541,0.300410233035155,0.246538631625972
"{n_char=medio,polaridad=Positivo} => {difusion=alta}",0.0177211512523085,0.26720901126408,0.0663194372393185,1.02630664396487,1708,0.628047551883941,0.167636545163402
"{n_char=medio,RT_popular=muy muchos} => {difusion=alta}",0.0300367288497852,0.381071475582467,0.07882177170011,1.46363397463893,2895,0.587226473352128,0.248218849291991
"{fecha_inicio_T_momento=Noche,n_char=medio} => {difusion=alta}",0.030700753252682,0.268414368650218,0.114378203398975,1.03093622695646,2959,0.424319189360355,0.193165501054207
"{n_char=medio,retweet_es_finde=Finde} => {difusion=alta}",0.041605278994003,0.275904775010321,0.150795791745347,1.05970566769127,4010,0.296479308214948,0.217851965093428
"{polaridad=Positivo,RT_popular=muy muchos} => {difusion=alta}",0.0283766678425432,0.439569270331083,0.0645556224191239,1.68831455379973,2735,0.660298799902033,0.274279733595445
"{fecha_inicio_T_momento=Tarde,polaridad=Positivo} => {difusion=alta}",0.0263742192525575,0.269508057675997,0.0978605963769169,1.03513690981621,2542,0.489682341170585,0.185403586501185
"{n_char=largo,polaridad=Positivo} => {difusion=alta}",0.0377663879147559,0.3032827862023,0.124525326305742,1.1648601856918,3640,0.391319942611191,0.224168690463069
"{fecha_inicio_T_momento=Noche,polaridad=Positivo} => {difusion=alta}",0.0321325558714283,0.280627038782167,0.114502707974518,1.07784311994512,3097,0.425574425574426,0.202021497393794
"{polaridad=Positivo,retweet_es_finde=Finde} => {difusion=alta}",0.0451847855408686,0.297168201978847,0.152051212882073,1.14137505551627,4355,0.294936994970899,0.23535783176172
"{n_char=corto,RT_popular=muy muchos} => {difusion=alta}",0.0285115477993816,0.361103810775296,0.0789566516569484,1.386941399942,2748,0.583656028842302,0.235306029879558
"{retweet_source=Twitter for Android,RT_popular=muy muchos} => {difusion=alta}",0.0201697412379905,0.566929133858268,0.0355771824614555,2.17748321429535,1944,0.815117197787727,0.322198925740005
"{fecha_inicio_T_momento=Tarde,RT_popular=muy muchos} => {difusion=alta}",0.0383577846485858,0.400281507145951,0.0958270216430454,1.53741660244445,3697,0.517677014983841,0.273803780591386
"{retweet_es_finde=Laborable,RT_popular=muy muchos} => {difusion=alta}",0.0351932933535307,0.365359758724688,0.096325039945218,1.40328780845632,3392,0.510230426644291,0.25026575646444
"{n_char=largo,RT_popular=muy muchos} => {difusion=alta}",0.0458799360876512,0.480234578627281,0.095536510966778,1.84450343338067,4422,0.531659973226238,0.328226000559356
"{fecha_inicio_T_momento=Noche,RT_popular=muy muchos} => {difusion=alta}",0.0510157498288062,0.429319828865799,0.118829241974643,1.64894810495511,4917,0.431267783749605,0.312631541116569
"{polaridad=Neutro,RT_popular=muy muchos} => {difusion=alta}",0.0499782116992799,0.388279864581654,0.128716980349028,1.4913202322511,4817,0.388214056237188,0.290119050805213
"{retweet_es_finde=Finde,RT_popular=muy muchos} => {difusion=alta}",0.0692245440019921,0.441007336902637,0.156969143616028,1.69383793517773,6672,0.297010521295938,0.353443813505913
"{retweet_verified=Sin verificar,RT_popular=muy muchos} => {difusion=alta}",0.042393807972443,0.462740656851642,0.0916146168371688,1.77731210602833,4086,0.545076747771298,0.312784212222745
