"rules","support","confidence","coverage","lift","count","imbalance"
"{1_resp=desde el pasado,fecha_inicio_T_momento=Tarde} => {difusion=alta}",0.031883546720342,0.422637876495668,0.0754393973978544,1.62328380538796,3073,0.608459647685375
"{1_resp=desde el pasado,n_char=largo} => {difusion=alta}",0.0416467805191841,0.433852140077821,0.0959930277437696,1.66635598011399,4014,0.522286693920612
"{1_resp=desde el pasado,fecha_inicio_T_momento=Noche} => {difusion=alta}",0.0418646635263846,0.439542483660131,0.0952460002905107,1.68821167052406,4035,0.526274016997917
"{1_resp=desde el pasado,polaridad=Neutro} => {difusion=alta}",0.0433275922890166,0.423873325213155,0.102218256520927,1.62802896432192,4176,0.495352616184595
"{1_resp=desde el pasado,retweet_es_finde=Finde} => {difusion=alta}",0.066495818721338,0.422200263504611,0.157498288062086,1.62160300458681,6409,0.29275062749151
"{1_resp=desde el pasado,retweet_verified=Sin verificar} => {difusion=alta}",0.0638812226349318,0.391218706315923,0.163287750824843,1.50260784857501,6157,0.269819754866619
"{1_resp=hace un ratín,retweet_verified=Verificados} => {difusion=alta}",0.0205328795833247,0.51928627656783,0.0395405781162458,1.99449469626845,1979,0.79042561093367
"{1_resp=hace un ratín,RT_popular=muy muchos} => {difusion=alta}",0.0247037828640203,0.558003280993672,0.0442717519868855,2.14320045543684,2381,0.771942179392142
"{1_resp=hace un ratín,adherencia=alta} => {difusion=alta}",0.0224627005042435,0.334466244399815,0.0671598431242348,1.28463081086088,2165,0.633324263655534
"{1_resp=hace un ratín,fecha_inicio_T_momento=Tarde} => {difusion=alta}",0.0285011724180864,0.366022651565623,0.0778672366209458,1.40583387276631,2747,0.589206753316361
"{1_resp=hace un ratín,n_char=largo} => {difusion=alta}",0.0332945985764977,0.360521289742726,0.0923512689091324,1.38470403076366,3209,0.525985837718443
"{1_resp=hace un ratín,fecha_inicio_T_momento=Noche} => {difusion=alta}",0.0256271917992986,0.291996689916066,0.0877653503766263,1.12151211315415,2470,0.535180001930316
"{1_resp=hace un ratín,polaridad=Neutro} => {difusion=alta}",0.0292689506339358,0.301195814648729,0.0971758212114295,1.15684446511014,2821,0.497107999620721
"{1_resp=hace un ratín,retweet_es_finde=Finde} => {difusion=alta}",0.0497188271668984,0.371012697429545,0.134008424809612,1.42499983277494,4792,0.366608465289903
"{1_resp=hace un ratín,retweet_verified=Sin verificar} => {difusion=alta}",0.044883899483306,0.279656086366281,0.160496773256417,1.07411384857555,4326,0.265612495515633
"{retweet_source=Twitter for iPhone,RT_popular=muchos} => {difusion=alta}",0.0220269344898425,0.432294848299735,0.0509534975410346,1.66037467397884,2123,0.723872032135428
"{adherencia=alta,RT_popular=muchos} => {difusion=alta}",0.0223796974538814,0.339150943396226,0.0659874250378701,1.30262398288097,2157,0.63945113834181
"{retweet_source=Twitter for Android,RT_popular=muchos} => {difusion=alta}",0.0211242763171547,0.379921627169248,0.0556016683613123,1.45921759264471,2036,0.694478657141852
"{fecha_inicio_T_momento=Tarde,RT_popular=muchos} => {difusion=alta}",0.0259384532381565,0.317540962784199,0.0816853769376024,1.21962353849792,2500,0.565234516033742
"{retweet_es_finde=Laborable,RT_popular=muchos} => {difusion=alta}",0.0215289161876699,0.296343901742359,0.0726484198294287,1.13820905147573,2075,0.60264481529596
"{n_char=largo,RT_popular=muchos} => {difusion=alta}",0.0343010105621382,0.362858083635166,0.0945300989811375,1.39367927858949,3306,0.517265930936276
"{fecha_inicio_T_momento=Noche,RT_popular=muchos} => {difusion=alta}",0.0299744765620137,0.340523338048091,0.0880247349090079,1.30789512902491,2889,0.541236273583369
